Site    ;NomeCliente                                       ;Finalidade                                        ;Contrato;CicloFaturam;Num_Fatura            ;Num_Nota_Fiscal;CodDDD;NumTelefone;Designacao                    ;Valor_a_pagar;sNomeLocalPT1                 ;Tip_Logradouro_1;Nome_Logradouro_1             ;Num_Imovel_1;Nome_Bairro_1       ;Cep_1   ;SiglaUF_1 ;sNomeLocalPT2                 ;Tip_Logradouro_2;Nome_Logradouro_2             ;Num_Imovel_2;Nome_Bairro_2       ;Cep_2   ;SiglaUF_2 ;Prod_Telefone;Velocidade_Circuito;Num_Pagina;Num_Linha;Data_Servico;Cod_Servico / Descricao_Servico                                                 ;Degrau;Num_Tel_Origem;Cod_Selecao;DDD_Tel_Destino;Telefone_Destino;Hr_Qtd_Chamada;Duracao;S;Valor_Servico;Aliquota_Icms;CONTA   ;NUM_DETALHE;Cod_L_Origem_Chamada    ;Cod_L_Destino_Chamada    ;Vencimento;CONTESTAR     ;VALOR_CONTESTA;Localidade          ;Telefone Origem ;Sigla Órgão Análise ;
CC417080;ESTADO DE SERGIPE - ADMINISTRACAO DIRETA          ;CUSTOMIZACAO DOS MEIOS DE ACESSO                  ;4504406 ;            ;1500025428467         ;00000281940B   ;079   ;34651061   ;SAO MIGUEL DO ALEIXO 3465-1061;0000000061,62;SAO MIGUEL DO ALEIXO          ;RUA             ;ELIZIARIO FRANCISCO SANTOS    ;00000       ;9999CENTRO          ;        ;SE        ;                              ;                ;                              ;000000000000;                    ;        ;          ;LINHA INDIVID;                   ;0000001   ;000000001;23/10/2023  ;00033/ASS. USO NAO RESIDENCIAL       DE 01/09/23 A 30/09/23 3465-1061           ;      ;00000034651061;           ;               ;                ;              ;       ;+;0000000061,62;0000000000000;20231001;00000000001;02380                   ;00000                    ;01/12/2023;              ;              ;                    ;                ;          ;
CC417080;ESTADO DE SERGIPE - ADMINISTRACAO DIRETA          ;CUSTOMIZACAO DOS MEIOS DE ACESSO                  ;4504406 ;            ;1500025428467         ;00000281940B   ;079   ;34651061   ;SAO MIGUEL DO ALEIXO 3465-1061;0000000061,62;SAO MIGUEL DO ALEIXO          ;RUA             ;ELIZIARIO FRANCISCO SANTOS    ;00000       ;9999CENTRO          ;        ;SE        ;                              ;                ;                              ;000000000000;                    ;        ;          ;LINHA INDIVID;                   ;0000001   ;000000002;23/10/2023  ;05967/CONSUMO MINUTOS                                                           ;      ;              ;           ;               ;                ;              ;       ;+;0000000000000;0000000000000;20231001;00000000002;02380                   ;00000                    ;01/12/2023;              ;              ;                    ;                ;          ;
CC417080;ESTADO DE SERGIPE - ADMINISTRACAO DIRETA          ;CUSTOMIZACAO DOS MEIOS DE ACESSO                  ;4504406 ;            ;1500025428467         ;00000281940B   ;079   ;32621747   ;BARRA DOS COQUEIROS  3262-1747;0000000061,62;BARRA DOS COQUEIROS           ;RUA             ;S CJ PRISCO VIANA             ;00008       ;9999CJ PRISCO VIANA ;        ;SE        ;                              ;                ;                              ;000000000000;                    ;        ;          ;LINHA INDIVID;                   ;0000001   ;000000003;23/10/2023  ;00033/ASS. USO NAO RESIDENCIAL       DE 01/09/23 A 30/09/23 3262-1747           ;      ;00000032621747;           ;               ;                ;              ;       ;+;0000000061,62;0000000000000;20231001;00000000003;02384                   ;00000                    ;01/12/2023;              ;              ;                    ;                ;          ;
CC417080;ESTADO DE SERGIPE - ADMINISTRACAO DIRETA          ;CUSTOMIZACAO DOS MEIOS DE ACESSO                  ;4504406 ;            ;1500025428467         ;00000281940B   ;079   ;32621747   ;BARRA DOS COQUEIROS  3262-1747;0000000061,62;BARRA DOS COQUEIROS           ;RUA             ;S CJ PRISCO VIANA             ;00008       ;9999CJ PRISCO VIANA ;        ;SE        ;                              ;                ;                              ;000000000000;                    ;        ;          ;LINHA INDIVID;                   ;0000001   ;000000004;23/10/2023  ;05967/CONSUMO MINUTOS                                                           ;      ;              ;           ;               ;                ;              ;       ;+;0000000000000;0000000000000;20231001;00000000004;02384                   ;00000                    ;01/12/2023;              ;              ;                    ;                ;          ;
CC417080;ESTADO DE SERGIPE - ADMINISTRACAO DIRETA          ;CUSTOMIZACAO DOS MEIOS DE ACESSO                  ;4504406 ;            ;1500025428467         ;00000281940B   ;079   ;32881608   ;AREIA BRANCA         3288-1608;0000000061,62;AREIA BRANCA                  ;AV              ;SEN WALTER FRANCO             ;00187       ;9999CENTRO          ;        ;SE        ;                              ;                ;                              ;000000000000;                    ;        ;          ;LINHA INDIVID;                   ;0000001   ;000000005;23/10/2023  ;00033/ASS. USO NAO RESIDENCIAL       DE 01/09/23 A 30/09/23 3288-1608           ;      ;00000032881608;           ;               ;                ;              ;       ;+;0000000061,62;0000000000000;20231001;00000000005;02919                   ;00000                    ;01/12/2023;              ;              ;                    ;                ;          ;
CC417080;ESTADO DE SERGIPE - ADMINISTRACAO DIRETA          ;CUSTOMIZACAO DOS MEIOS DE ACESSO                  ;4504406 ;            ;1500025428467         ;00000281940B   ;079   ;32881608   ;AREIA BRANCA         3288-1608;0000000061,62;AREIA BRANCA                  ;AV              ;SEN WALTER FRANCO             ;00187       ;9999CENTRO          ;        ;SE        ;                              ;                ;                              ;000000000000;                    ;        ;          ;LINHA INDIVID;                   ;0000001   ;000000006;23/10/2023  ;05967/CONSUMO MINUTOS                                                           ;      ;              ;           ;               ;                ;              ;       ;+;0000000000000;0000000000000;20231001;00000000006;02919                   ;00000                    ;01/12/2023;              ;              ;                    ;                ;          ;
CC417080;ESTADO DE SERGIPE - ADMINISTRACAO DIRETA          ;CUSTOMIZACAO DOS MEIOS DE ACESSO                  ;4504406 ;            ;1500025428467         ;00000281940B   ;079   ;33412094   ;AQUIDABA             3341-2094;0000000061,62;AQUIDABA                      ;AV              ;MAYNARD GOMES                 ;01001       ;9999CENTRO          ;        ;SE        ;                              ;                ;                              ;000000000000;                    ;        ;          ;LINHA INDIVID;                   ;0000001   ;000000007;23/10/2023  ;00033/ASS. USO NAO RESIDENCIAL       DE 01/09/23 A 30/09/23 3341-2094           ;      ;00000033412094;           ;               ;                ;              ;       ;+;0000000061,62;0000000000000;20231001;00000000007;02920                   ;00000                    ;01/12/2023;              ;              ;                    ;                ;          ;
CC417080;ESTADO DE SERGIPE - ADMINISTRACAO DIRETA          ;CUSTOMIZACAO DOS MEIOS DE ACESSO                  ;4504406 ;            ;1500025428467         ;00000281940B   ;079   ;33412094   ;AQUIDABA             3341-2094;0000000061,62;AQUIDABA                      ;AV              ;MAYNARD GOMES                 ;01001       ;9999CENTRO          ;        ;SE        ;                              ;                ;                              ;000000000000;                    ;        ;          ;LINHA INDIVID;                   ;0000001   ;000000008;23/10/2023  ;05967/CONSUMO MINUTOS                                                           ;      ;              ;           ;               ;                ;              ;       ;+;0000000000000;0000000000000;20231001;00000000008;02920                   ;00000                    ;01/12/2023;              ;              ;                    ;                ;          ;
CC417080;ESTADO DE SERGIPE - ADMINISTRACAO DIRETA          ;CUSTOMIZACAO DOS MEIOS DE ACESSO                  ;4504406 ;            ;1500025428467         ;00000000000    ;079   ;33441217   ;NEOPOLIS             3344-1217;0000000076,53;NEOPOLIS                      ;PCA             ;PE ARTHUR PASSOS              ;00129       ;9999CENTRO          ;        ;SE        ;                              ;                ;                              ;000000000000;                    ;        ;          ;LINHA INDIVID;                   ;0000010   ;000000007;23/10/2023  ;00028/BLOQ.CHAMADAS AUTOMAT. COBRAR  DE 01/09/23 A 30/09/23 3344-1217           ;      ;00000033441217;           ;               ;                ;              ;       ;+;0000000014,91;0000000000000;20231001;00000000439;02921                   ;00000                    ;01/12/2023;              ;              ;                    ;                ;          ;
CC417080;ESTADO DE SERGIPE - ADMINISTRACAO DIRETA          ;CUSTOMIZACAO DOS MEIOS DE ACESSO                  ;4504406 ;            ;1500025428467         ;00000281940B   ;079   ;33441217   ;NEOPOLIS             3344-1217;0000000076,53;NEOPOLIS                      ;PCA             ;PE ARTHUR PASSOS              ;00129       ;9999CENTRO          ;        ;SE        ;                              ;                ;                              ;000000000000;                    ;        ;          ;LINHA INDIVID;                   ;0000001   ;000000009;23/10/2023  ;00033/ASS. USO NAO RESIDENCIAL       DE 01/09/23 A 30/09/23 3344-1217           ;      ;00000033441217;           ;               ;                ;              ;       ;+;0000000061,62;0000000000000;20231001;00000000009;02921                   ;00000                    ;01/12/2023;              ;              ;                    ;                ;          ;
